Cups;Provincia;Municipio;Dirección postal sumin.;;;;;;;;;
ES0021000004279670GB;Madrid;Fuenlabrada;C/ Suecia, 14, bajo A, 28942 Fuenlabrada;;;;;;;;;
ES0021000004467009FS;Madrid;Leganés;C/Püig Adam, 6A, bajo 3,28914 Leganés;;;;;;;;;
ES0021000004467010FQ;Madrid;Leganés;C/Püig Adam, 6A, bajo 4,28914 Leganés;;;;;;;;;
ES0021000004467019PW;Madrid;Leganés;C/Püig Adam, 6b, bajo C,28914 Leganés;;;;;;;;;
ES0021000004467020PA;Madrid;Leganés;C/Püig Adam, 6b, bajo B,28914 Leganés;;;;;;;;;
ES0021000004554527VH;Madrid;Madrid;C/ Estaño, 8 Esc.5, bajo 2 28021 Madrid;;;;;;;;;
ES0021000004554548HQ;Madrid;Madrid;C/ Estaño, 8 Esc.7 bajo 2 28021 Madrid;;;;;;;;;
ES0021000004554549HV;Madrid;Madrid;C/ Estaño, 8 Esc.7, bajo 3 28021 Madrid;;;;;;;;;
ES0022000006212875CX;Madrid;Madrid;CALLE VALLEHERMOSO, 29 GARAJE;;;;;;;;;
ES0022000006212876CB;Madrid;Madrid;CALLE VALLEHERMOSO, 29 GARAJE;;;;;;;;;
ES0022000006212880CS;Madrid;Madrid;CALLE VALLEHERMOSO, 29 ESC D, PISO BAJO IZ;;;;;;;;;
ES0022000006212925EZ;Madrid;Madrid;CALLE VALLEHERMOSO, 29 ESC C, BJ 81 Ctrl;;;;;;;;;
ES0022000006290815MA;Madrid;Madrid;C/ Batalla del Salado, 35, 28045 Madrid;;;;;;;;;
ES0022000006290850YS;Madrid;Madrid;C/ Batalla del Salado, 35, 28045 Madrid;;;;;;;;;
ES0022000006290851YQ;Madrid;Madrid;CALLE BATALLA DEL SALADO 0035* GARAJE MADRID MADRID;;;;;;;;;
ES0022000007963231SC;Madrid;Madrid;CALLE BATALLA DEL SALADO 0035* OFICIN MADRID MADRID;;;;;;;;;
ES0022000008295931ZW;Madrid;Madrid;CALLE BATALLA DEL SALADO 0035* AIREAC MADRID MADRID;;;;;;;;;
ES0022000006290699TW;Madrid;Madrid;CALLE BATALLA DEL SALADO,0032* ACUART-MADRID MADRID(28045);;;;;;;;;
ES0021000004467060DC;Madrid;Leganés;C/Püig Adams, 6d, bajo AA,28914 Leganés;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
